#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	XXX	NOTES
40	ᎠᏲ!	ayo		hla; uyoi		
	ᎣᏍᏓ.	osda		vv; howa		
	ᎣᏍᏛ.	osdv	osda	vv; howa		
	ᎤᏲᎢ.	uyoi		hla; ayo		
	ᎥᎥ.	vv		osda; howa		
	ᎥᏍᎩᎩ?	vsgigi				
	Ꮭ.	hla		uyoi; ayo		
	ᎰᏩ.	howa		vv; osda		
	Ꮒ!	ni				
	ᏣᎳᎩ.	jalagi				
	ᏩᏙ.	wado				
	ᏲᏁᎦ.	yonega				
	ᎣᏏᏲ.	osiyo				
	ᏴᏭᏁᎦ.	yvwunega	yonega			
						
50	ᎦᏙ ᎤᏍᏗ?	gado-usdi				
	ᎯᎳ ᎢᎦ?	hila-iga				
	ᎯᎳ ᎢᏯᏂ?	hila-iyani				
	ᏌᏊ.	sagwu				
	ᏔᎵ.	tali				
	ᎠᏂᏔᎵ.	anitali				
	ᏦᎢ.	joi				
	ᎠᏂᏦᎢ.	anijoi				
	ᏅᎩ.	nvgi				
	ᎯᏍᎩ.	hisgi				
	ᏑᏓᎵ.	sudali				
	ᎦᎵᏉᎩ.	galgwogi				
	ᎢᎬᏱᎢ.	igvyii				
	ᎠᏂᏔᎵᏁᎢ.	anitalinei				
	ᏔᎵᏁᎢ.	talinei				
	ᎠᏂᏦᎢᏁᎢ.	anijoinei				
	ᏦᎢᏁᎢ.	joinei				
	ᏅᎩᏁᎢ.	nvginei				
	ᎯᏍᎩᏁᎢ.	hisginei				
	ᏑᏓᎵᏁᎢ.	sudalinei				
	ᎦᎵᏉᎩᏁᎢ.	galgwoginei				
						
60	ᎿᏛᎦ.	hnadvga				
	ᏂᏔᏛᎦ.	nitadvga				
	ᏘᎪᎵᏯ.	tigoliya				
	ᎰᏪᎸᎦ.	hohwelvga				
	ᏙᏪᎸᎦ.	tohwelvga				
						
	ᎠᎨᏯ.	agehya		agehya		
	ᎠᏂᎨᏯ.	anigehya		anigehya		
	ᎠᏂᏍᎦᏯ.	anisgaya		anisgaya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ.	anitali-anigehya		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᎠᎴ ᏔᎵ ᏄᎾ.	anitali-anigehya-ale-tali-nuna		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᎨᏯ ᏃᎴ ᏦᎢ ᏄᎾ.	anitali-anigehya-nole-joi-nuna		anigehya		
	ᎠᏂᏔᎵ ᎠᏂᏍᎦᏯ.	anitali-anisgaya		anisgaya		
	ᎠᏂᏔᎵ ᎩᏟ.	anitali-gihli		gihli		
	ᎠᏂᏔᎵ ᏪᏌ.	anitali-wesa		wesa		
	ᎠᏂᏦᎢ ᎠᏂᎨᏯ.	anijoi-anigehya		anigehya		
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ.	anijoi-anisgaya		anisgaya		
	ᎠᏂᏦᎢ ᎠᏂᏍᎦᏯ ᏃᎴ ᏔᎵ ᏄᎾ.	anijoi-anisgaya-nole-tali-nuna		anisgaya		
	ᎠᏍᎦᏯ.	asgaya		asgaya		
	ᎦᏙ ᎤᎾᏍᏗ ᏓᎪᏩᏘᎭ?	gado-unsdi-dagowhtiha		dagowhtiha		
	ᎦᏙ ᎤᎾᏍᏗ ᏓᏂᎪᏩᏘᎭ?	gado-unsdi-danigowhtiha		danigowhtiha		
	ᎦᏙ ᎤᎾᏍᏗ?	gado-unsdi				
	ᎦᏙ ᎤᏍᏗ ᎠᎪᏩᏘᎭ?	gado-usdi-agowhtiha		agowhtiha		
	ᎦᏙ ᎤᏍᏗ ᎠᏂᎪᏩᏘᎭ?	gado-usdi-anigowhtiha		anigowhtiha		
	ᎩᏟ.	gihli		gihli		
	ᏄᎾ.	nuna		nuna		
	ᏄᎾ ᎠᎴ ᏅᏯ.	nuna-ale-nvya		nuna		
	ᏄᎾ ᏃᎴ ᏅᏯ.	nuna-nole-nvya	nuna-ale-nvya	nuna		
	ᏅᏯ.	nvya		nvya		
	ᏌᏊ ᎠᎨᏯ.	sagwu-agehya		agehya		
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏅᏯ.	sagwu-agehya-ale-sagwu-nvya		agehya		
	ᏌᏊ ᎠᎨᏯ ᎠᎴ ᏌᏊ ᏪᏌ.	sagwu-agehya-ale-sagwu-wesa		agehya		
	ᏌᏊ ᎠᎨᏯ ᏃᎴ ᏌᏊ ᏄᎾ.	sagwu-agehya-nole-sagwu-nuna		agehya		
	ᏌᏊ ᎠᏍᎦᏯ.	sagwu-asgaya		asgaya		
	ᏌᏊ ᎠᏍᎦᏯ ᏃᎴ ᏌᏊ ᎩᏟ.	sagwu-asgaya-nole-sagwu-gihli		asgaya		
	ᏌᏊ ᎠᏍᎦᏯ ᏃᎴ ᏌᏊ ᏄᎾ.	sagwu-asgaya-nole-sagwu-nuna		asgaya		
	ᏌᏊ ᎩᏟ.	sagwu-gihli		gihli		
	ᏌᏊ ᏄᎾ.	sagwu-nuna		nuna		
	ᏌᏊ ᏅᏯ.	sagwu-nvya		nvya		
	ᏌᏊ ᏪᏌ.	sagwu-wesa		wesa		
	ᏔᎵ ᏄᎾ.	tali-nuna		nuna		
	ᏦᎢ ᏄᎾ.	joi-nuna		nuna		
	ᏦᎢ ᏅᏯ.	joi-nvya		nvya		
	ᏪᏌ.	wesa		wesa		
	ᏪᏌ ᎠᎴ ᎩᏟ.	wesa-ale-gihli		wesa		
	ᏪᏌ ᎠᎴ ᏅᏯ.	wesa-ale-nvya		wesa		
	ᏪᏌ ᏃᎴ ᎩᏟ.	wesa-nole-gihli	wesa-ale-gihli	wesa		
	ᏪᏌ ᏃᎴ ᏅᏯ.	wesa-nole-nvya	wesa-ale-nvya	wesa		
						
61	ᎠᎪᏩᏘᎭ.	agowhtiha		agowhtiha		
	ᎠᏂᎪᏩᏘᎭ.	anigowhtiha		anigowhtiha		
	ᎩᏟ ᎠᎪᏩᏘᎭ.	gihli-agowhtiha		agowhtiha		
	ᎩᏟ ᎠᏂᎪᏩᏘᎭ.	gihli-anigowhtiha		anigowhtiha		
	ᎩᏟ ᏓᎪᏩᏘᎭ.	gihli-dagowhtiha		dagowhtiha		
	ᎩᏟ ᏓᏂᎪᏩᏘᎭ.	gihli-danigowhtiha		danigowhtiha		
	ᏄᎾ ᎠᎪᏩᏘᎭ.	nuna-agowhtiha		agowhtiha		
	ᏄᎾ ᎠᏂᎪᏩᏘᎭ.	nuna-anigowhtiha		anigowhtiha		
	ᏄᎾ ᏓᎪᏩᏘᎭ.	nuna-dagowhtiha		dagowhtiha		
	ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	nuna-danigowhtiha		danigowhtiha		
	ᏅᏯ ᎠᎪᏩᏘᎭ.	nvya-agowhtiha		agowhtiha		
	ᏅᏯ ᎠᏂᎪᏩᏘᎭ.	nvya-anigowhtiha		anigowhtiha		
	ᏅᏯ ᏓᎪᏩᏘᎭ.	nvya-dagowhtiha		dagowhtiha		
	ᏅᏯ ᏓᏂᎪᏩᏘᎭ.	nvya-danigowhtiha		danigowhtiha		
	ᏓᎪᏩᏘᎭ.	dagowhtiha		dagowhtiha		
	ᏓᏂᎪᏩᏘᎭ.	danigowhtiha		danigowhtiha		
	ᏪᏌ ᎠᎪᏩᏘᎭ.	wesa-agowhtiha		agowhtiha		
	ᏪᏌ ᎠᏂᎪᏩᏘᎭ.	wesa-anigowhtiha		anigowhtiha		
	ᏪᏌ ᏓᎪᏩᏘᎭ.	wesa-dagowhtiha		dagowhtiha		
	ᏪᏌ ᏓᏂᎪᏩᏘᎭ.	wesa-danigowhtiha		danigowhtiha		
						
62	ᎠᎨᏯ ᎠᎴ ᏪᏌ ᏅᏯ ᎠᏂᏩᏘᎭ.	agehya-ale-wesa				
	ᎠᎨᏯ ᎠᏂᎨᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	agehya-anigehya				
	ᎠᎨᏯ ᏅᏯ ᎠᎪᏩᏘᎭ.	agehya-nvya				
	ᎠᏂᎨᏯ ᎠᎨᏯ ᎠᎴ ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	anigehya-agehya				
	ᎠᏂᎨᏯ ᏄᎾ ᎠᏂᎪᏩᏘᎭ.	anigehya-nuna				
	ᎠᏂᏍᎦᏯ ᎠᎨᏯ ᎠᎴ ᏅᏯ ᏓᏂᎪᏩᏘᎭ.	anisgaya-agehya				
	ᎠᏂᏍᎦᏯ ᎠᏍᎦᏯ ᎠᎴ ᏄᎾ ᏓᏂᎪᏩᏘᎭ.	anisgaya-asgaya				
	ᎠᏂᏍᎦᏯ ᏅᏯ ᎠᏂᎪᏩᏘᎭ.	anisgaya-nvya				
	ᎠᏍᎦᏯ ᎠᎴ ᎩᏟ ᏅᏯ ᎠᏂᏩᏘᎭ.	asgaya-ale-gihli				
	ᎠᏍᎦᏯ ᎠᏂᎨᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	asgaya-anigehya				
	ᎠᏍᎦᏯ ᎠᏂᏍᎦᏯ ᎠᎴ ᏄᎾ ᏓᎪᏩᏘᎭ.	asgaya-anisgaya				
	ᎠᏍᎦᏯ ᎩᏟ ᎠᎪᏩᏘᎭ.	asgaya-gihli				
						
70	ᎠᏂ.	ahni	ahni			
	ᎢᎾ.	ina				
	ᎤᎿ.	uhna				
	ᎾᎥ.	nav				
	ᎠᎭᏂ.	ahani	ahni			
	ᎯᎪᏩᏘᎭ.	hiigowhtiha		higowhtiha		
	ᏥᎪᏩᏘᎭ.	jiigowhtiha		jigowhtiha		
	ᎦᎯᎪᏩᏘᎭ.	gahiigowhtiha				
	ᎦᏥᎪᏩᏘᎭ.	gajiigowhtiha				
	Ꭿ̣ᎪᏩᏘᎭ.	higowhtiha		hiigowhtiha		
	Ꮵ̣ᎪᏩᏘᎭ.	jigowhtiha		jiigowhtiha		
	ᏕᎯ̣ᎪᏩᏘᎭ.	dehigowhtiha				
	ᏕᏥ̣ᎪᏩᏘᎭ.	dejigowhtiha				
						
71	ᎤᏪᏴᎢ	uweyvi				u¹we³yv⁴ɂi
	ᎠᎹᏳᏟᏗ	amayuhldi				ạ²ma²yuhl⁴di
	ᏡᎬᎢ	hlgvi				hlgv⁴ɂi
	ᏕᏡᎬᎢ	dehlgvi				dehl²³gv⁴ɂi
						
72	ᎠᎭᏂ ᎠᎨᏯ ᏥᎪᏩᏘᎭ.	ahani-agehya				
	ᎠᎭᏂ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ.	ahani-anigehya				
	ᎠᎭᏂ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	ahani-anisgaya				
	ᎠᎭᏂ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ.	ahani-asgaya				
	ᎠᎭᏂ ᎩᏟ ᏥᎪᏩᏘᎭ.	ahani-gihli				
	ᎠᎭᏂ ᏄᎾ Ꮵ̣ᎪᏩᏘᎭ.	ahani-nuna				
	ᎠᎭᏂ ᏪᏌ ᎦᏥᎪᏩᏘᎭ.	ahani-wesa				
	ᎤᎿ ᎠᎨᏯ ᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-agehya-nvya				
	ᎤᎿ ᎠᎨᏯ ᏥᎪᏩᏘᎭ.	uhna-agehya				
	ᎤᎿ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏄᎾ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-anigehya-nuna				
	ᎤᎿ ᎠᏂᎨᏯ ᎦᏥᎪᏩᏘᎭ.	uhna-anigehya				
	ᎤᎿ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏄᎾ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-anisgaya-nuna				
	ᎤᎿ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	uhna-anisgaya				
	ᎤᎿ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-asgaya-nvya				
	ᎤᎿ ᎠᏍᎦᏯ ᏥᎪᏩᏘᎭ.	uhna-asgaya				
	ᎤᎿ ᎩᏟ ᎦᏥᎪᏩᏘᎭ ᎠᎴ ᏅᏯ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-gihli-nvya				
	ᎤᎿ ᏅᏯ ᏕᏥ̣ᎪᏩᏘᎭ.	uhna-nvya-dejigowhtiha				
	ᎤᎿ ᏅᏯ Ꮵ̣ᎪᏩᏘᎭ.	uhna-nvya-jigowhtiha				
	ᎤᎿ ᏪᏌ ᎦᏥᎪᏩᏘᎭ.	uhna-wesa-gajigowhtiha				
	ᎤᎿ ᏪᏌ ᏥᎪᏩᏘᎭ.	uhna-wesa-jigowhtiha				
	ᎦᏙ ᎤᎾᏍᏗ ᎦᎯᎪᏩᏘᎭ?	gado-unsdi-gahiigowhtiha				
	ᎦᏙ ᎤᏍᏗ ᎯᎪᏩᏘᎭ?	gado-usdi-hiigowhtiha				
	ᎦᏙ ᎤᏍᏗ Ꭿ̣ᎪᏩᏘᎭ?	gado-usdi-higowhtiha				
	ᎦᏙ ᏧᏍᏗ ᏕᎯ̣ᎪᏩᏘᎭ?	gado-jusdi-dehigowhtiha				
	ᎦᏙ ᎤᎾᏍᏗ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-gajiigowhtiha				
	ᎦᏙ ᎤᏍᏗ ᏥᎪᏩᏘᎭ?	gado-usdi-jiigowhtiha				
	ᎦᏙ ᎤᏍᏗ Ꮵ̣ᎪᏩᏘᎭ?	gado-usdi-jigowhtiha				
	ᎦᏙ ᏧᏍᏗ ᏕᏥ̣ᎪᏩᏘᎭ?	gado-jusdi-dejigowhtiha				
						
80	ᎥᏍᎩ.	vsgi	vsgi			v¹sgị
	ᎥᏍᎩᎾ.	vsgina	vsgi			v¹sgị²na
	ᎯᎠ.	hia	hia			hị²ɂa
	ᎯᎢ.	hii	hia			hị²ɂi
	Ꮎ.	na	vsgi			na
	ᎾᏍᎩ.	nasgi	vsgi			na¹sgi
	ᏍᎩᎾ.	sgina	vsgi			sgị²na
						
81	ᎠᎨᏯ ᎠᏂ ᏥᎪᏩᏘᎭ.	agehya-ahni				x
	ᎠᎨᏯ ᎤᎿ ᏥᎪᏩᏘᎭ.	agehya-uhna		agehya-uhna; na-agehya		x
	ᎠᏴ.	ayv	ayv1; ayv2; ayv3	ayv		x
						
	ᎯᎠ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	hia-nav-gajiigowhtiha	hia-nav-gajiigowhtiha			
	ᎯᎢ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	hii-nav-gajiigowhtiha	hia-nav-gajiigowhtiha			
	ᎯᎠ ᎾᎥ ᏥᎪᏩᏘᎭ.	hia-nav-jiigowhtiha	hia-nav-jiigowhtiha	hia-nav-jigowhtiha		
	ᎯᎢ ᎾᎥ ᏥᎪᏩᏘᎭ.	hii-nav-jiigowhtiha	hia-nav-jiigowhtiha	hia-nav-jigowhtiha		
	ᎯᎠ ᎾᎥ Ꮵ̣ᎪᏩᏘᎭ.	hia-nav-jigowhtiha		hia-nav-jiigowhtiha		
						
	ᏪᏌ ᏡᎬ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	wesa-hlgv-nav-gajiigowhtiha				
	ᎩᏟ ᏡᎬ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	gihli-hlgv-nav-gajiigowhtiha				
	ᏪᏌ ᎠᎨᏯ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	wesa-agehya-nav-gajiigowhtiha				
	ᎩᏟ ᏅᏯ ᎾᎥ ᎦᏥᎪᏩᏘᎭ.	gihli-nvya-nav-gajiigowhtiha				
	ᏄᎾ ᏅᏯ ᎾᎥ ᏕᏥ̣ᎪᏩᏘᎭ.	nuna-nvya-nav-dejigowhtiha				
	ᏄᎾ ᏅᏯ ᎾᎥ Ꮵ̣ᎪᏩᏘᎭ.	nuna-nvya-nav-jigowhtiha				
						
	ᎥᏍᎩ ᎢᎾ ᎯᎪᏩᏘᎭ.	vsgi-ina-hiigowhtiha				x
	ᏍᎩᎾ ᎢᎾ ᎯᎪᏩᏘᎭ.	sgina-ina-hiigowhtiha	vsgi-ina-hiigowhtiha			
						
	ᎥᏍᎩ ᎢᎾ ᎦᎯᎪᏩᏘᎭ.	vsgi-ina-gahiigowhtiha				
	ᏍᎩᎾ ᎢᎾ ᎦᎯᎪᏩᏘᎭ.	sgina-ina-gahiigowhtiha	vsgi-ina-gahiigowhtiha			
						
	ᎥᏍᎩᎾ ᎢᎾ Ꭿ̣ᎪᏩᏘᎭ.	vsgina-ina-higowhtiha				
	ᎾᏍᎩ ᎢᎾ Ꭿ̣ᎪᏩᏘᎭ.	nasgi-ina-higowhtiha	vsgina-ina-higowhtiha			
						
	ᎾᏍᎩ ᎢᎾ ᏕᎯ̣ᎪᏩᏘᎭ.	nasgi-ina-dehigowhtiha				
						
	ᎦᏙ ᎤᎾᏍᏗ ᎠᏂ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-ahni				
	ᎦᏙ ᎤᎾᏍᏗ ᎤᎿ ᎦᏥᎪᏩᏘᎭ?	gado-unsdi-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna		
	ᎦᏙ ᎤᏍᏗ ᎠᏂ ᏥᎪᏩᏘᎭ?	gado-usdi-ahni				
	ᎦᏙ ᎤᏍᏗ ᎤᎿ ᏥᎪᏩᏘᎭ?	gado-usdi-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna		
	ᎦᏙ ᏧᏍᏗ ᎤᎿ ᏕᏥ̣ᎪᏩᏘᎭ?	gado-jusdi-uhna				
						
	ᎩᏟ ᎠᏂ ᏥᎪᏩᏘᎭ.	gihli-ahni				
	ᎩᏟ ᎤᎿ ᎦᏥᎪᏩᏘᎭ.	gihli-uhna		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna		
						
	ᎭᏢ ᎠᎨᏯ?	hadlv-agehya				
	ᎭᏢ ᎩᏟ?	hadlv-gihli				
	ᎭᏢ ᏅᏯ?	hadlv-nvya				
						
	ᎯᎠ ᎠᏍᎦᏯ ᎠᏂ.	hia-asgaya				
	ᎯᎠ ᏄᎾ ᎠᏂ.	hia-nuna				
						
	Ꮎ ᎠᎨᏯ ᎤᎿ.	na-agehya		agehya-uhna; na-agehya		
	Ꮎ ᎩᏟ ᎤᎿ.	na-gihli		gado-unsdi-uhna; gado-usdi-uhna; vsgi-ina-gahiigowhtiha; vsgi-ina-hiigowhtiha; na-gihli; gihli-uhna		
						
	ᏂᎯ.	nihi	nihi1; nihi2; nihi3	nihi		
						
	ᏅᏯ ᎤᎿ ᏕᏥ̣ᎪᏩᏘᎭ.	nvya-uhna				
	ᏪᏌ ᎠᏂ ᏥᎪᏩᏘᎭ.	wesa-ahni				
	ᏪᏌ ᎤᎿ ᏥᎪᏩᏘᎭ.	wesa-uhna				
						
90	ᎠᎭᏫ.	ahawi	ahawi			
	ᎠᏫ.	ahwi	ahawi			
	ᎪᏪᎵ.	gohweli				
	ᏗᎪᏪᎵ.	digohweli				
	ᎫᎴ.	gule				
	ᏙᏯ.	doya				
	ᏚᏯ.	tuya				
