#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	XXX	NOTES
	ᎤᏂᏲ ᎠᏂᏍᎦᏯ ᎦᏥᎪᏩᏘᎭ.	uniyo-anisgaya-gajiigowhtiha				
	ᎠᎩᎨ ᏐᏈᎵ ᏥᎪᏩᏘᎭ.	agige-sogwili-jiigowhtiha				
	ᏕᎯ̣ᎪᏩᏘᎭ ᏗᎩᎨ ᏄᎾ.	dehigowhtiha-digige-nuna				
	ᎠᏧᏣ ᏧᏃᏗᎨ ᏩᏯ ᏓᎪᏩᏘᎭ.	achuja-junodige-wahya-dagowhtiha				
						
170	ᎤᎭ.	uha				
	ᎤᏂᎭ.	uniha				
	ᎠᎩᎭ.	agiha				
	ᏣᎭ.	jaha				
	ᎤᏩᎧᎭ.	uwakaha				
	ᎤᏂᎧᎭ.	unikaha				
	ᏥᏯᎧᎭ.	jiyakaha				
	ᎯᏯᎧᎭ.	hiyakaha				
						
180	ᎦᎪ ᎠᎩᎪᏘᎭ?	gago-agigowhtiha				
	ᎦᎪ ᏣᎪᏘᎭ?	gago-jagowhtiha				
						
	ᎦᏙ ᎤᏍᏗ ᎤᎭ?	gado-usdi-uha				
	ᎦᏙ ᎤᏍᏗ ᎤᏂᎭ?	gado-usdi-uniha				
	ᎦᏙ ᎤᏍᎩ ᎠᎩᎭ?	gado-usdi-agiha				
	ᎦᏙ ᎤᏍᏗ ᏣᎭ?	gado-usdi-jaha				
	ᎦᏙ ᎤᏍᏗ ᎤᏩᎧᎭ?	gado-usdi-uwakaha				
	ᎦᏙ ᎤᏍᏗ ᎤᏂᎧᎭ?	gado-usdi-unikaha				
	ᎦᏙ ᎤᏍᏗ ᏥᏯᎧᎭ?	gado-usdi-jiyakaha				
	ᎦᏙ ᎤᏍᏗ ᎯᏯᎧᎭ?	gado-usdi-hiyakaha				
						
	ᎾᏍᎩ ᎠᎩᎪᏩᏘᎭ.	nasgi-agigowhtiha	asgaya-agigowhtiha			
 	Ꮭ ᎾᏍᎩ ᏯᎩᎪᏩᏘᎭ.	hla-nasgi-yagigowhtiha	hla-asgaya-yagigowhtiha			
	ᎠᏍᎦᏯ ᎠᎩᎪᏩᏘᎭ.	asgaya-agigowhtiha				
	Ꮭ ᎠᏍᎦᏯ ᏯᎩᎪᏩᏘᎭ.	hla-asgaya-yagigowhtiha	hla-asgaya-yagigowhtiha			
						
	ᎥᏍᎩᎾ ᏣᎪᏩᏘᎭ.	vsgina-jagowhtiha	agehya-jagowhtiha			
	Ꮭ ᎥᏍᎩᎾ ᏱᏣᎪᏩᏘᎭ.	hla-vsgina-yijagowhtiha	hla-agehya-yijagowhtiha			
	ᎠᎨᏯ ᏣᎪᏩᏘᎭ.	agehya-jagowhtiha				
	Ꮭ ᎠᎨᏯ ᏱᏣᎪᏩᏘᎭ.	hla-agehya-yijagowhtiha	hla-agehya-yijagowhtiha			
						
	ᎠᏍᎦᏯ ᎥᏍᎩ ᎤᎭ.	asgaya-vsgi-uha	asgaya-nuna-uha			
	Ꮭ ᎠᎨᏯ ᎥᏍᎩ ᏳᎭ.	hla-agehya-vsgi-yuha	hla-agehya-nuna-yuha			
	ᎠᏍᎦᏯ ᏄᎾ ᎤᎭ.	asgaya-nuna-uha				
	Ꮭ ᎠᎨᏯ ᏄᎾ ᏳᎭ.	hla-agehya-nuna-yuha				
						
	ᎾᏍᎩ ᏄᎾ ᎤᏂᎭ.	nasgi-nuna-uniha	anisgaya-nuna-uniha			
	Ꮭ ᎾᏍᎩ ᏅᏯ ᏳᏂᎭ.	hla-nasgi-nvya-yuniha	hla-anisgaya-nvya-yuniha			
	ᎠᏂᏍᎦᏯ ᏄᎾ ᎤᏂᎭ.	anisgaya-nuna-uniha				
	Ꮭ ᎠᏂᏍᎦᏯ ᏅᏯ ᏳᏂᎭ.	hla-anisgaya-nvya-yuniha				
						
	ᎯᎠ ᎠᎩᎭ.	hia-agiha	nvya-agiha			
	Ꮭ ᎾᏍᎩ ᏯᎩᎭ.	hla-nasgi-yagiha	hla-nvya-yagiha			
	ᏅᏯ ᎠᎩᎭ.	nvya-agiha				
	Ꮭ ᏅᏯ ᏯᎩᎭ.	hla-nvya-yagiha				
						
	ᎥᏍᎩᎾ ᏣᎭ.	vsgina-jaha	nuna-jaha			
	Ꮭ ᎥᏍᎩ ᏱᏣᎭ.	hla-vsgi-yijaha	hla-nuna-yijaha			
	ᏄᎾ ᏣᎭ.	nuna-jaha				
	Ꮭ ᏄᎾ ᏱᏣᎭ.	hla-nuna-yijaha				
						
	ᎠᏍᎦᏯ Ꮎ ᎤᏩᎧᎭ.	asgaya-na-uwakaha	asgaya-gihli-uwakaha			
	ᎠᏍᎦᏯ ᎩᏟ ᎤᏩᎧᎭ.	asgaya-gihli-uwakaha				
						
	ᎥᏍᎩᎾ ᎩᏟ ᎤᏂᎧᎭ.	vsgina-gihli-unikaha	anisgaya-gihli-unikaha			
	Ꮭ ᎥᏍᎩ ᏪᏌ ᏳᏂᎧᎭ.	hla-vsgi-wesa-yunikaha	hla-anisgaya-wesa-yunikaha			
	ᎠᏂᏍᎦᏯ ᎩᏟ ᎤᏂᎧᎭ.	anisgaya-gihli-unikaha				
	Ꮭ ᎠᏂᏍᎦᏯ ᏪᏌ ᏳᏂᎧᎭ.	hla-anisgaya-wesa-yunikaha				
						
	ᎯᎠ ᏥᏯᎧᎭ.	hia-jiyakaha	gihli-jiyakaha			
	Ꮭ Ꮎ ᏱᏥᏯᎧᎭ.	hla-na-yijiyakaha	hla-gihli-yijiyakaha			
	ᎩᏟ ᏥᏯᎧᎭ.	gihli-jiyakaha				
	Ꮭ ᎩᏟ ᏱᏥᏯᎧᎭ.	hla-gihli-yijiyakaha				
						
	ᎾᏍᎩ ᎯᏯᎧᎭ.	nasgi-hiyakaha	wesa-hiyakaha			
	Ꮭ ᎥᏍᎩᎾ ᏱᏯᎧᎭ.	hla-vsgina-hyiyakaha	hla-wesa-hyiyakaha			
	ᏪᏌ ᎯᏯᎧᎭ.	wesa-hiyakaha				
	Ꮭ ᏪᏌ ᏱᏯᎧᎭ.	hla-wesa-hyiyakaha				
						
190	ᏚᎭ.	duha	asgaya-nuna-duha			
	ᏚᏂᎭ.	duniha	anisgaya-nuna-duniha			
	ᏓᎩᎭ.	dagiha	nvya-dagiha			
	ᏕᏣᎭ.	dejaha	nuna-dejaha			
	ᏚᏩᎧᎭ.	duwakaha	asgaya-gihli-duwakaha			
	ᏚᏂᎧᎭ.	dunikaha	anisgaya-gihli-dunikaha			
	ᎦᏥᏯᎧᎭ.	gajiyakaha	gihli-gajiyakaha			
	ᎦᎯᏯᎧᎭ.	gahiyakaha	wesa-gahiyakaha			
						
	ᎦᎪ ᎬᎩᎪᏩᏘᎭ?	gago-gvgigowhtiha				
	ᎦᎪ ᎨᏣᎪᏩᏘᎭ?	gago-gejagowhtiha				
						
	ᎦᏙ ᏧᏍᏗ ᏚᎭ?	gado-jusdi-duha				
	ᎦᏙ ᏧᏍᏗ ᏚᏂᎭ?	gado-jusdi-duniha				
	ᎦᏙ ᏧᏍᏗ ᏓᎩᎭ?	gado-jusdi-dagiha				
	ᎦᏙ ᏧᏍᏗ ᏕᏣᎭ?	gado-jusdi-dejaha				
	ᎦᏙ ᎤᎾᏍᏗ ᏚᏩᎧᎭ?	gado-unsdi-duwakaha				
	ᎦᏙ ᎤᎾᏍᏗ ᏚᏂᎧᎭ?	gado-unsdi-dunikaha				
	ᎦᏙ ᎤᎾᏍᏗ ᎦᏥᏯᎧᎭ?	gado-unsdi-gajiyakaha				
	ᎦᏙ ᎤᎾᏍᏗ ᎦᎯᏯᎧᎭ?	gado-unsdi-gahiyakaha				
						
	Ꮭ ᏱᏚᎭ.	hla-yiduha	hla-agehya-nuna-yiduha			
	Ꮭ ᏱᏚᏂᎭ.	hla-yiduniha	hla-anisgaya-nvya-yiduniha			
	Ꮭ ᏱᏓᎩᎭ.	hla-yidagiha	hla-nvya-yidagiha			
	Ꮭ ᏱᏕᏣᎭ.	hla-yidejaha	hla-nuna-yidejaha			
	Ꮭ ᏱᏚᏩᎧᎭ.	hla-yiduwakaha	hla-asgaya-gihli-yiduwakaha			
	Ꮭ ᏱᏚᏂᎧᎭ.	hla-yidunikaha	hla-anisgaya-wesa-yidunikaha			
	Ꮭ ᏱᎦᏥᏯᎧᎭ.	hla-yigajiyakaha	hla-gihli-yigajiyakaha			
	Ꮭ ᏱᎦᎯᏯᎧᎭ.	hla-yigahiyakaha	hla-wesa-yigahiyakaha			
						
	ᎬᎩᎪᏩᏘᎭ.	gvgigowhtiha	nasgi-gvgigowhtiha			
	Ꮭ ᏱᎬᎩᎪᏩᏘᎭ.	hla-yigvgigowhtiha	hla-nasgi-yigvgigowhtiha			
	ᎨᏣᎪᏩᏘᎭ.	gejagowhtiha	vsgina-gejagowhtiha			
	Ꮭ ᏱᎨᏣᎪᏩᏘᎭ.	hla-yigejagowhtiha	hla-vsgina-yigejagowhtiha			
						
	ᎾᏍᎩ ᎬᎩᎪᏩᏘᎭ.	nasgi-gvgigowhtiha	nasgi-gvgigowhtiha			
	Ꮭ ᎾᏍᎩ ᏱᎬᎩᎪᏩᏘᎭ.	hla-nasgi-yigvgigowhtiha	hla-nasgi-yigvgigowhtiha			
	ᎥᏍᎩᎾ ᎨᏣᎪᏩᏘᎭ.	vsgina-gejagowhtiha	vsgina-gejagowhtiha			
	Ꮭ ᎥᏍᎩᎾ ᏱᎨᏣᎪᏩᏘᎭ.	hla-vsgina-yigejagowhtiha	hla-vsgina-yigejagowhtiha			
						
	ᎠᏍᎦᏯ ᎥᏍᎩ ᏚᎭ.	asgaya-vsgi-duha	asgaya-nuna-duha			
	Ꮭ ᎠᎨᏯ ᎥᏍᎩ ᏱᏚᎭ.	hla-agehya-vsgi-yiduha	hla-agehya-nuna-yiduha			
	ᎠᏍᎦᏯ ᏄᎾ ᏚᎭ.	asgaya-nuna-duha				
	Ꮭ ᎠᎨᏯ ᏄᎾ ᏱᏚᎭ.	hla-agehya-nuna-yiduha				
						
	ᎾᏍᎩ ᏄᎾ ᏚᏂᎭ.	nasgi-nuna-duniha	anisgaya-nuna-duniha			
	Ꮭ ᎾᏍᎩ ᏅᏯ ᏱᏚᏂᎭ.	hla-nasgi-nvya-yiduniha	hla-anisgaya-nvya-yiduniha			
	ᎠᏂᏍᎦᏯ ᏄᎾ ᏚᏂᎭ.	anisgaya-nuna-duniha				
	Ꮭ ᎠᏂᏍᎦᏯ ᏅᏯ ᏱᏚᏂᎭ.	hla-anisgaya-nvya-yiduniha				
						
	ᎯᎠ ᏓᎩᎭ.	hia-dagiha	nvya-dagiha			
	Ꮭ ᎾᏍᎩ ᏱᏓᎩᎭ.	hla-nasgi-yidagiha	hla-nvya-yidagiha			
	ᏅᏯ ᏓᎩᎭ.	nvya-dagiha				
	Ꮭ ᏅᏯ ᏱᏓᎩᎭ.	hla-nvya-yidagiha				
						
	ᎥᏍᎩᎾ ᏕᏣᎭ.	vsgina-dejaha	nuna-dejaha			
	Ꮭ ᎥᏍᎩ ᏱᏕᏣᎭ.	hla-vsgi-yidejaha	hla-nuna-yidejaha			
	ᏄᎾ ᏕᏣᎭ.	nuna-dejaha				
	Ꮭ ᏄᎾ ᏱᏕᏣᎭ.	hla-nuna-yidejaha				
						
	ᎠᏍᎦᏯ Ꮎ ᏚᏩᎧᎭ.	asgaya-na-duwakaha	asgaya-gihli-duwakaha			
	Ꮭ ᎠᏍᎦᏯ Ꮎ ᏱᏚᏩᎧᎭ.	hla-asgaya-na-yiduwakaha	hla-asgaya-gihli-yiduwakaha			
	ᎠᏍᎦᏯ ᎩᏟ ᏚᏩᎧᎭ.	asgaya-gihli-duwakaha				
	Ꮭ ᎠᏍᎦᏯ ᎩᏟ ᏱᏚᏩᎧᎭ.	hla-asgaya-gihli-yiduwakaha				
						
	ᎥᏍᎩᎾ ᎩᏟ ᏚᏂᎧᎭ.	vsgina-gihli-dunikaha	anisgaya-gihli-dunikaha			
	Ꮭ ᎥᏍᎩ ᏪᏌ ᏱᏚᏂᎧᎭ.	hla-vsgi-wesa-yidunikaha	hla-anisgaya-wesa-yidunikaha			
	ᎠᏂᏍᎦᏯ ᎩᏟ ᏚᏂᎧᎭ.	anisgaya-gihli-dunikaha				
	Ꮭ ᎠᏂᏍᎦᏯ ᏪᏌ ᏱᏚᏂᎧᎭ.	hla-anisgaya-wesa-yidunikaha				
						
	ᎯᎠ ᎦᏥᏯᎧᎭ.	hia-gajiyakaha	gihli-gajiyakaha			
	Ꮭ Ꮎ ᏱᎦᏥᏯᎧᎭ.	hla-na-yigajiyakaha	hla-gihli-yigajiyakaha			
	ᎩᏟ ᎦᏥᏯᎧᎭ.	gihli-gajiyakaha				
	Ꮭ ᎩᏟ ᏱᎦᏥᏯᎧᎭ.	hla-gihli-yigajiyakaha				
						
	ᎾᏍᎩ ᎦᎯᏯᎧᎭ.	nasgi-gahiyakaha	wesa-gahiyakaha			
	Ꮭ ᎥᏍᎩᎾ ᏱᎦᎯᏯᎧᎭ.	hla-vsgina-yigahiyakaha	hla-wesa-yigahiyakaha			
	ᏪᏌ ᎦᎯᏯᎧᎭ.	wesa-gahiyakaha				
	Ꮭ ᏪᏌ ᏱᎦᎯᏯᎧᎭ.	hla-wesa-yigahiyakaha				
						
200	ᎢᎩ.	igi				
	ᎢᎦ.	iga				
	ᎨᏐᎢ.	gesoi				
	ᎨᏒᎢ.					not doing
	ᎨᏒᎩ.	gesvgi				
	ᎨᏎᎢ.	gesei	gesvgi			
	ᎨᎲᎢ.					not doing
	ᎨᎲᎩ.	gehvgi				
	ᎨᎮᎢ.	gehei	gehvgi			
	ᎨᏎᏍᏗ.	gesesdi				
						
	Ꮭ ᏱᎩ.	hla-yigi				
	Ꮭ ᏱᎨᏐᎢ.	hla-yigesoi				
	Ꮭ ᏱᎨᏒᎩ.	hla-yigesvgi				
	Ꮭ ᏱᎨᏎᎢ.	hla-yigesei	hla-yigesvgi			
	Ꮭ ᏱᎨᎲᎩ.	hla-yigehvgi				
	Ꮭ ᏱᎨᎮᎢ.	hla-yigehei	hla-yigehvgi			
	Ꮭ ᏱᎨᏎᏍᏗ.	hla-yigesesdi				
						
201	ᎠᎬᎿᎨ ᏪᏌ.	agvhnage-wesa	agvhnage-wesa			
	ᎠᎬᎿᎨ ᏪᏌ ᎢᎩ.	agvhnage-wesa-igi	agvhnage-wesa			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏐᎢ.	agvhnage-wesa-gesoi	agvhnage-wesa-gesoi			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏒᎩ.	agvhnage-wesa-gesvgi	agvhnage-wesa-gesvgi			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏎᎢ.	agvhnage-wesa-gesei	agvhnage-wesa-gesei			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᎲᎩ.	agvhnage-wesa-gehvgi	agvhnage-wesa-gehvgi			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᎮᎢ.	agvhnage-wesa-gehei	agvhnage-wesa-gehei			
	ᎠᎬᎿᎨ ᏪᏌ ᎨᏎᏍᏗ.	agvhnage-wesa-gesesdi	agvhnage-wesa-gesesdi			
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎩ.	wesa-hla-agvhnage-yigi	wesa-hla-agvhnage-yigi			
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᏎᎢ.	wesa-hla-agvhnage-yigesei	wesa-hla-agvhnage-yigesei			
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᎮᎢ.	wesa-hla-agvhnage-yigehei	wesa-hla-agvhnage-yigehei			
	ᏪᏌ Ꮭ ᎠᎬᎿᎨ ᏱᎨᏎᏍᏗ.	wesa-hla-agvhnage-yigesesdi	wesa-hla-agvhnage-yigesesdi			
	Ꮭ ᏪᏌ ᏱᎩ.	hla-wesa-yigi	hla-wesa-yigi			
	Ꮭ ᏪᏌ ᏱᎨᏐᎢ.	hla-wesa-yigesoi	hla-wesa-yigesoi			
	Ꮭ ᏪᏌ ᏱᎨᏒᎩ.	hla-wesa-yigesvgi	hla-wesa-yigesvgi			
	Ꮭ ᏪᏌ ᏱᎨᏎᎢ.	hla-wesa-yigesei	hla-wesa-yigesei			
	Ꮭ ᏪᏌ ᏱᎨᎲᎩ.	hla-wesa-yigehvgi	hla-wesa-yigehvgi			
	Ꮭ ᏪᏌ ᏱᎨᎮᎢ.	hla-wesa-yigehei	hla-wesa-yigehei			
	Ꮭ ᏪᏌ ᏱᎨᏎᏍᏗ.	hla-wesa-yigesesdi	hla-wesa-yigesesdi			
						
210	ᏥᏯᏚᎵᎭ.	jiiyaduliha				
	ᎠᏆᏚᎵᎭ.	agwaduliha	ayv-nasgi-agwaduliha; nasgi-ayv-agwaduliha			
	ᎠᏴ ᎾᏍᎩ ᎠᏆᏚᎵᎭ.	ayv-nasgi-agwaduliha				
	ᎾᏍᎩ ᎠᏴ ᎠᏆᏚᎵᎭ.	nasgi-ayv-agwaduliha				
	ᎦᏥᏯᏚᎵᎭ.	gajiiyaduliha				
	ᏓᏆᏚᎵᎭ.	dagwaduliha				
	ᎬᏆᏚᎵᎭ.	gvgwaduliha				
	ᎤᏚᎵᎭ.	uduliha				
	ᏚᏚᎵᎭ.	duduliha				
	ᎯᏯᏚᎵᎭ.	hiiyaduliha				
	ᏣᏚᎵᎭ.	jadulia	nihi-nasgi-jaduliha; nasgi-nihi-jaduliha			
	ᏂᎯ ᎾᏍᎩ ᏣᏚᎵᎭ.	nihi-nasgi-jaduliha				
	ᎾᏍᎩ ᏂᎯ ᏣᏚᎵᎭ.	nasgi-nihi-jaduliha				
	ᎦᎯᏯᏚᎵᎭ.	gahiiyaduliha				
	ᏕᏣᏚᎵᎭ.	dejaduliha				
	ᎨᏣᏚᎵᎭ.	gejaduliha				
	ᎤᎾᏚᎵᎭ.	unaduliha				
	ᏚᎾᏚᎵᎭ.	dunaduliha				
	ᏥᏯᏚᎵᎭ ᎠᏎᏃ ᎯᏯᎧᎭ.	jiiyaduliha-asehno-hiiyawaka				
	ᏚᏚᎵᎭ ᎠᏎᏃ ᏓᎩᎭ.	duduliha-asehno-dagiha				
	ᎦᏍᎩᎶ.	gasgilo				
	ᏗᎦᏍᎩᎶ.	digasgilo				
						
						
220	Ꭷ.					
	ᏄᎳ.					
	ᏂᎦᏓ.					
	ᏂᎦᏛ.					
	ᎦᏙ ᎤᎵᏑᏫᏓ?					
	ᎦᏙ ᎤᎾᎵᏑᏫᏓ?					
	ᎦᏙ ᏧᎵᏑᏫᏓ?					
	ᎦᏍᎩᎸᎢ.	gasgilvi				
